patient_id,sex,population,superpopulation
HG00096,M,GBR,EUR
HG00097,F,GBR,EUR
HG00099,F,GBR,EUR
HG00100,F,GBR,EUR
HG00101,M,GBR,EUR
HG00102,F,GBR,EUR
HG00103,M,GBR,EUR
HG00105,M,GBR,EUR
HG00106,F,GBR,EUR
HG00107,M,GBR,EUR
HG00108,M,GBR,EUR
HG00109,M,GBR,EUR
HG00110,F,GBR,EUR
HG00111,F,GBR,EUR
HG00112,M,GBR,EUR
HG00113,M,GBR,EUR
HG00114,M,GBR,EUR
HG00115,M,GBR,EUR
HG00116,M,GBR,EUR
HG00117,M,GBR,EUR
HG00118,F,GBR,EUR
HG00119,M,GBR,EUR
HG00120,F,GBR,EUR
HG00121,F,GBR,EUR
HG00122,F,GBR,EUR
HG00123,F,GBR,EUR
HG00125,F,GBR,EUR
HG00126,M,GBR,EUR
HG00127,F,GBR,EUR
HG00128,F,GBR,EUR
HG00129,M,GBR,EUR
HG00130,F,GBR,EUR
HG00131,M,GBR,EUR
HG00132,F,GBR,EUR
HG00133,F,GBR,EUR
HG00136,M,GBR,EUR
HG00137,F,GBR,EUR
HG00138,M,GBR,EUR
HG00139,M,GBR,EUR
HG00140,M,GBR,EUR
HG00141,M,GBR,EUR
HG00142,M,GBR,EUR
HG00143,M,GBR,EUR
HG00145,M,GBR,EUR
HG00146,F,GBR,EUR
HG00148,M,GBR,EUR
HG00149,M,GBR,EUR
HG00150,F,GBR,EUR
HG00151,M,GBR,EUR
HG00154,F,GBR,EUR
HG00155,M,GBR,EUR
HG00157,M,GBR,EUR
HG00158,F,GBR,EUR
HG00159,M,GBR,EUR
HG00160,M,GBR,EUR
HG00171,F,FIN,EUR
HG00173,F,FIN,EUR
HG00174,F,FIN,EUR
HG00176,F,FIN,EUR
HG00177,F,FIN,EUR
HG00178,F,FIN,EUR
HG00179,F,FIN,EUR
HG00180,F,FIN,EUR
HG00181,M,FIN,EUR
HG00182,M,FIN,EUR
HG00183,M,FIN,EUR
HG00185,M,FIN,EUR
HG00186,M,FIN,EUR
HG00187,M,FIN,EUR
