repeat,grch38_sex_M,grch38_sex_F,grch38_gap,t2t_sex_M,t2t_sex_F,t2t_gap,delta_delta
0,0.9401669320210354,0.9316732841747022,0.008493647846333219,0.8639774207555362,0.8023144204380731,0.06166300031746308,-0.05316935247112986
1,0.9517846287451152,0.9545141488624188,-0.002729520117303652,0.8513928692044195,0.873534757673158,-0.022141888468738546,0.019412368351434894
2,0.9594789405123751,0.9423882385969736,0.01709070191540152,0.8483842331258746,0.8210636369365808,0.027320596189293833,-0.010229894273892315
3,0.9382544507164567,0.9258395641038863,0.012414886612570397,0.8831910068992137,0.7984576107071854,0.08473339619202835,-0.07231850957945796
4,0.9637342596613114,0.953656267725468,0.010077991935843467,0.8639697013557196,0.8216773520800746,0.04229234927564496,-0.03221435733980149
5,0.945427702996092,0.9534293817356778,-0.008001678739585794,0.8469551792348143,0.8316789907011121,0.015276188533702273,-0.023277867273288066
6,0.9495093356491532,0.9614575018477456,-0.011948166198592403,0.8781039224200319,0.8374024075124472,0.04070151490758467,-0.05264968110617707
7,0.9547546678245766,0.9316732841747022,0.023081383649874443,0.8831456554252906,0.8415936563593966,0.04155199906589391,-0.018470615416019465
8,0.9449587494572296,0.9347952353942144,0.010163514063015189,0.8539161480194914,0.7923360662782103,0.061580081741281156,-0.05141656767826597
9,0.9608771168041688,0.942341463414634,0.01853565338953478,0.8492073141313263,0.8044652996212838,0.04474201451004256,-0.026206361120507782
