repeat,model,group,balanced_accuracy,macro_f1
0,logistic_regression,overall,0.9358572323532572,0.9368743590293033
0,logistic_regression,sex_F,0.9316732841747022,0.9326974702883696
0,logistic_regression,sex_M,0.9401669320210354,0.9414187775881271
1,logistic_regression,overall,0.9532508958036807,0.9544122020707249
1,logistic_regression,sex_F,0.9545141488624189,0.9559116122897663
1,logistic_regression,sex_M,0.9517846287451152,0.9530763454317898
2,logistic_regression,overall,0.9502493024071944,0.9505193108524219
2,logistic_regression,sex_F,0.9423882385969737,0.943202805792961
2,logistic_regression,sex_M,0.9594789405123751,0.9580701754385965
3,logistic_regression,overall,0.9315937264523398,0.933273606650794
3,logistic_regression,sex_F,0.9258395641038863,0.9267637907411531
3,logistic_regression,sex_M,0.9382544507164567,0.9397046307884857
4,logistic_regression,overall,0.9581141333836609,0.9597588217498039
4,logistic_regression,sex_F,0.9536562677254679,0.9563803566023322
4,logistic_regression,sex_M,0.9637342596613114,0.9635714285714286
5,logistic_regression,overall,0.9487272641487179,0.9501477840249649
5,logistic_regression,sex_F,0.9534293817356778,0.9548002385211687
5,logistic_regression,sex_M,0.945427702996092,0.9458921897026122
6,logistic_regression,overall,0.9549178615983891,0.9553637845990787
6,logistic_regression,sex_F,0.9614575018477456,0.961017237131619
6,logistic_regression,sex_M,0.9495093356491532,0.951075430172069
7,logistic_regression,overall,0.942351234296356,0.9435760821661721
7,logistic_regression,sex_F,0.9316732841747022,0.9334198321634366
7,logistic_regression,sex_M,0.9547546678245766,0.9542153392060545
8,logistic_regression,overall,0.9393474722215668,0.9426599873928707
8,logistic_regression,sex_F,0.9347952353942144,0.9376891274100577
8,logistic_regression,sex_M,0.9449587494572297,0.948152260111023
9,logistic_regression,overall,0.9494376662646941,0.9515910614139408
9,logistic_regression,sex_F,0.942341463414634,0.9451630735212824
9,logistic_regression,sex_M,0.9608771168041687,0.9588681686229963
