repeat,model,group,balanced_accuracy,macro_f1
0,logistic_regression,overall,0.8337896176974018,0.8332079559922398
0,logistic_regression,sex_F,0.8023144204380731,0.8021369591989179
0,logistic_regression,sex_M,0.8639774207555362,0.8635994638373388
1,logistic_regression,overall,0.8622810402008042,0.8632296055313045
1,logistic_regression,sex_F,0.873534757673158,0.8755548712845297
1,logistic_regression,sex_M,0.8513928692044195,0.84992706905976
2,logistic_regression,overall,0.8354538096191868,0.8354666059201044
2,logistic_regression,sex_F,0.8210636369365808,0.8228185369755137
2,logistic_regression,sex_M,0.8483842331258746,0.847973599110102
3,logistic_regression,overall,0.8390912335901671,0.8388541139014224
3,logistic_regression,sex_F,0.7984576107071854,0.7966369810479622
3,logistic_regression,sex_M,0.8831910068992137,0.8818832790949251
4,logistic_regression,overall,0.8414946395175589,0.8425404528042616
4,logistic_regression,sex_F,0.8216773520800746,0.8210184757770966
4,logistic_regression,sex_M,0.8639697013557196,0.8639533974509342
5,logistic_regression,overall,0.8410125676950658,0.8421743464122645
5,logistic_regression,sex_F,0.8316789907011121,0.8325202486267237
5,logistic_regression,sex_M,0.8469551792348143,0.8486591545709194
6,logistic_regression,overall,0.8573302537022107,0.8599892045319333
6,logistic_regression,sex_F,0.8374024075124472,0.8404227990255351
6,logistic_regression,sex_M,0.8781039224200319,0.8801366467959394
7,logistic_regression,overall,0.8606495280175814,0.8613017900101401
7,logistic_regression,sex_F,0.8415936563593966,0.841412339715945
7,logistic_regression,sex_M,0.8831456554252906,0.8818241761054854
8,logistic_regression,overall,0.8239322478069212,0.8242595084567957
8,logistic_regression,sex_F,0.7923360662782103,0.7921813979907325
8,logistic_regression,sex_M,0.8539161480194914,0.8544668974865848
9,logistic_regression,overall,0.8248336493451486,0.8251665185873633
9,logistic_regression,sex_F,0.8044652996212838,0.8033524452016211
9,logistic_regression,sex_M,0.8492073141313263,0.8491764497512021
