repeat,model,group,balanced_accuracy,macro_f1
0,mlp,overall,0.9678442520465216,0.9698219022356953
0,mlp,sex_F,0.9667317073170733,0.9684848484848485
0,mlp,sex_M,0.970438558402084,0.9718237294917967
1,mlp,overall,0.9752813229847366,0.9767677801839293
1,mlp,sex_F,0.9813658536585365,0.9822630754615247
1,mlp,sex_M,0.9688059053408598,0.9705393124567221
2,mlp,overall,0.982866462303622,0.9820421180423737
2,mlp,sex_F,0.984091648189209,0.9828888668583324
2,mlp,sex_M,0.9816326530612246,0.9814391743706515
3,mlp,overall,0.9740924046610318,0.9737401056248322
3,mlp,sex_F,0.9643665927568368,0.9625938790639381
3,mlp,sex_M,0.9844897959183674,0.9858702243784112
4,mlp,overall,0.9752813229847366,0.9766622058659529
4,mlp,sex_F,0.9764878048780489,0.9776330342878211
4,mlp,sex_M,0.9745201910551454,0.9758641600970286
5,mlp,overall,0.9723401465141484,0.9730303773160915
5,mlp,sex_F,0.9801832963784183,0.9789275347279828
5,mlp,sex_M,0.9630916196265741,0.9663923378209093
6,mlp,overall,0.9732410114721771,0.9745694762090666
6,mlp,sex_F,0.9541721927155846,0.955921287983112
6,mlp,sex_M,0.9942857142857143,0.9949961861174674
7,mlp,overall,0.975851046262002,0.9772034475916639
7,mlp,sex_F,0.9813658536585365,0.9825556465420977
7,mlp,sex_M,0.9702648719062094,0.9715006352009226
8,mlp,overall,0.9781462626649503,0.9775899813498586
8,mlp,sex_F,0.9857994579945799,0.9865323897866005
8,mlp,sex_M,0.9700303951367781,0.9675687947637162
9,mlp,overall,0.951041856030907,0.9539711163644297
9,mlp,sex_F,0.9446429811443993,0.9468139337298215
9,mlp,sex_M,0.9573773339122884,0.9618946002451156
10,mlp,overall,0.9685404995469135,0.9683283291219962
10,mlp,sex_F,0.9650332250468383,0.9652258197793723
10,mlp,sex_M,0.971723838471559,0.971087679840835
11,mlp,overall,0.9653462746300718,0.9675454764778915
11,mlp,sex_F,0.96770140428677,0.9689707095439488
11,mlp,sex_M,0.9630916196265741,0.9665863144233366
12,mlp,overall,0.9648886087261819,0.9667762817344915
12,mlp,sex_F,0.9588233555062823,0.9591406162916314
12,mlp,sex_M,0.9714285714285715,0.9745143745143746
13,mlp,overall,0.9817054715915476,0.9826188614470845
13,mlp,sex_F,0.9880916481892091,0.9877725955942946
13,mlp,sex_M,0.9745201910551454,0.9770311120785433
14,mlp,overall,0.965034630238422,0.9624354893531514
14,mlp,sex_F,0.9691529933481153,0.9666431759455015
14,mlp,sex_M,0.9601823708206687,0.9577706964223818
15,mlp,overall,0.9697704593172757,0.9682484894398797
15,mlp,sex_F,0.9831219512195123,0.9823129251700682
15,mlp,sex_M,0.9563352149370387,0.9535046075055883
16,mlp,overall,0.9740493163459443,0.9733868633752752
16,mlp,sex_F,0.9703355506282335,0.9699775533108866
16,mlp,sex_M,0.9788363004776379,0.9769167944117386
17,mlp,overall,0.9764423136968109,0.9772320426349838
17,mlp,sex_F,0.9743355506282334,0.9739277627566798
17,mlp,sex_M,0.9787755102040816,0.9808196551431774
18,mlp,overall,0.9837457831041071,0.9838328798035441
18,mlp,sex_F,0.9815927396483268,0.9823965141612201
18,mlp,sex_M,0.9857750759878421,0.985097682871422
19,mlp,overall,0.9686596342280808,0.9697870605528645
19,mlp,sex_F,0.9548233555062822,0.955944055944056
19,mlp,sex_M,0.9843161094224925,0.9849885583524027
