repeat,model,group,balanced_accuracy,macro_f1
0,random_forest,overall,0.9387777489443018,0.9421304154249146
0,random_forest,sex_F,0.9332660238230289,0.937077187077187
0,random_forest,sex_M,0.9447850629613548,0.9476191697042134
1,random_forest,overall,0.9594918493005261,0.9619153448703773
1,random_forest,sex_F,0.9764878048780489,0.9776330342878211
1,random_forest,sex_M,0.9402344767694311,0.9440524596935548
2,random_forest,overall,0.9574515377879667,0.9600642595652327
2,random_forest,sex_F,0.9492941439350968,0.9510088244990985
2,random_forest,sex_M,0.9657142857142859,0.969730550182678
3,random_forest,overall,0.9280055838262393,0.9304053745505836
3,random_forest,sex_F,0.9416126781140962,0.9433139187856169
3,random_forest,sex_M,0.9115955034496068,0.91581042835377
4,random_forest,overall,0.928363490528203,0.9320894803000066
4,random_forest,sex_F,0.9057538287010777,0.9082748171319984
4,random_forest,sex_M,0.9531220147633522,0.9579330985915494
5,random_forest,overall,0.9456450966052514,0.9488026407653545
5,random_forest,sex_F,0.9583074305161656,0.9595230238264785
5,random_forest,sex_M,0.9304385584020842,0.9357257383432612
6,random_forest,overall,0.9394810737524857,0.9428283176329548
6,random_forest,sex_F,0.9308868835834236,0.9335794251054373
6,random_forest,sex_M,0.9490403821102908,0.953404019570433
7,random_forest,overall,0.9403336295317706,0.9432498039119774
7,random_forest,sex_F,0.9520975609756096,0.9539039822621913
7,random_forest,sex_M,0.9290857335842139,0.9324757328117584
8,random_forest,overall,0.9515971124584208,0.9546148251678825
8,random_forest,sex_F,0.9334634146341463,0.9345742015943854
8,random_forest,sex_M,0.9730612244897958,0.9757159221076748
9,random_forest,overall,0.928363490528203,0.9315465963491665
9,random_forest,sex_F,0.9195099262620532,0.9217916326232855
9,random_forest,sex_M,0.9374381241858446,0.9414433026731819
10,random_forest,overall,0.935428187914703,0.9383851228569684
10,random_forest,sex_F,0.940189209164819,0.9422203269367447
10,random_forest,sex_M,0.929902060114826,0.9347479215685974
11,random_forest,overall,0.9371806364858808,0.9407311426026276
11,random_forest,sex_F,0.9336903006239364,0.9352647876974753
11,random_forest,sex_M,0.9420408163265306,0.9473570391355087
12,random_forest,overall,0.9422031659156858,0.9437194505132485
12,random_forest,sex_F,0.9483244469653999,0.9497662337662337
12,random_forest,sex_M,0.9362744246634825,0.937069273053351
13,random_forest,overall,0.9590365424992333,0.9615601505532773
13,random_forest,sex_F,0.9665343165059557,0.9686218955372853
13,random_forest,sex_M,0.9508467216673904,0.9541813888812282
14,random_forest,overall,0.923270917337816,0.9240228469703189
14,random_forest,sex_F,0.9265247597930525,0.9250207387286039
14,random_forest,sex_M,0.919743329956096,0.9235481627678549
15,random_forest,overall,0.9461665107037728,0.9496749225713206
15,random_forest,sex_F,0.943446398184912,0.9465929148741191
15,random_forest,sex_M,0.9503102233801322,0.9529267492618381
16,random_forest,overall,0.9545404576073118,0.956292476435047
16,random_forest,sex_F,0.9583990787053749,0.9606901870059765
16,random_forest,sex_M,0.9503102233801322,0.951627142227214
17,random_forest,overall,0.9495497236380693,0.9515914354696957
17,random_forest,sex_F,0.941294143935097,0.9414664187562728
17,random_forest,sex_M,0.9590099869735127,0.9622694765551909
18,random_forest,overall,0.9478190096487296,0.950594890252939
18,random_forest,sex_F,0.9436732841747022,0.9463528196398107
18,random_forest,sex_M,0.9516630481980025,0.9556363636363636
19,random_forest,overall,0.9460028128829204,0.948412417696033
19,random_forest,sex_F,0.9266599975936334,0.9279632841020629
19,random_forest,sex_M,0.9671732522796352,0.9703061062648694
