repeat,model,group,balanced_accuracy,macro_f1
0,svm,overall,0.9693363844393593,0.9720672053230512
0,svm,sex_F,0.9707317073170731,0.9728897715988083
0,svm,sex_M,0.9689795918367347,0.9717121212121211
1,svm,overall,0.9767734553775744,0.9789289976401339
1,svm,sex_F,0.9853658536585366,0.9865798205726926
1,svm,sex_M,0.9673469387755101,0.9705535289452815
2,svm,overall,0.9757605330461704,0.9772382912386434
2,svm,sex_F,0.977684387837536,0.9784280335739698
2,svm,sex_M,0.9730612244897958,0.9757159221076748
3,svm,overall,0.9651702786377708,0.9657889511399997
3,svm,sex_F,0.9634885439763489,0.962333532100974
3,svm,sex_M,0.9657142857142859,0.96925
4,svm,overall,0.979517091698318,0.9810410958904109
4,svm,sex_F,0.9764878048780489,0.9776330342878211
4,svm,sex_M,0.9828571428571429,0.9848592091090937
5,svm,overall,0.9742899448108764,0.975208823287641
5,svm,sex_F,0.9746540848072328,0.974532149041953
5,svm,sex_M,0.9730612244897958,0.9757159221076748
6,svm,overall,0.9722136222910217,0.9740734556666834
6,svm,sex_F,0.9628233555062824,0.9643365387142679
6,svm,sex_M,0.9828571428571429,0.9848592091090937
7,svm,overall,0.9763157894736842,0.9787591946007786
7,svm,sex_F,0.975609756097561,0.9778169199221832
7,svm,sex_M,0.9771428571428572,0.9797155225726655
8,svm,overall,0.9815789473684211,0.9833796534568536
8,svm,sex_F,0.9804878048780488,0.9820512820512821
8,svm,sex_M,0.9828571428571429,0.9848592091090937
9,svm,overall,0.9574660046377181,0.9588277623174501
9,svm,sex_F,0.9418395641038864,0.943327541476085
9,svm,sex_M,0.9728875379939209,0.9753228538160263
10,svm,overall,0.9722136222910217,0.9742778013061988
10,svm,sex_F,0.9823355506282336,0.983048128342246
10,svm,sex_M,0.96,0.9639163916391638
11,svm,overall,0.9689907759088442,0.9717377474356873
11,svm,sex_F,0.9707317073170731,0.9728897715988083
11,svm,sex_M,0.9671732522796352,0.9706679470763978
12,svm,overall,0.9627146956827035,0.9650561302546825
12,svm,sex_F,0.9637014042867701,0.964659280352884
12,svm,sex_M,0.9616326530612245,0.965326758191283
13,svm,overall,0.9826063365495765,0.9840057889238217
13,svm,sex_F,0.9960000000000001,0.995570159425581
13,svm,sex_M,0.9673469387755101,0.9710340791279594
14,svm,overall,0.9628482972136222,0.9648588966782047
14,svm,sex_F,0.9695491500369549,0.9696777484119256
14,svm,sex_M,0.9542857142857143,0.9589137225321709
15,svm,overall,0.985237915496945,0.9863869515645829
15,svm,sex_F,0.9902439024390244,0.9910784313725489
15,svm,sex_M,0.9802344767694311,0.9815082629659877
16,svm,overall,0.9690052427585959,0.970420349540505
16,svm,sex_F,0.96770140428677,0.9692640692640693
16,svm,sex_M,0.9718975249674339,0.971904761904762
17,svm,overall,0.9736986773760673,0.9747831822555554
17,svm,sex_F,0.9639282902765602,0.9645621391262471
17,svm,sex_M,0.9844897959183674,0.9858702243784112
18,svm,overall,0.9767734553775744,0.9789289976401339
18,svm,sex_F,0.9709585933068633,0.9733392911195352
18,svm,sex_M,0.9828571428571429,0.9848592091090937
19,svm,overall,0.9574515377879667,0.9600866191095113
19,svm,sex_F,0.9532941439350969,0.9558019409784115
19,svm,sex_M,0.9614589665653496,0.9643201243201244
