repeat,model,group,balanced_accuracy,macro_f1
0,xgboost,overall,0.9747115997074713,0.9770334567070897
0,xgboost,sex_F,0.9804878048780488,0.9820512820512821
0,xgboost,sex_M,0.9688059053408598,0.9718625364537846
1,xgboost,overall,0.9789473684210528,0.980968096809681
1,xgboost,sex_F,0.9853658536585366,0.9865798205726926
1,xgboost,sex_M,0.9714285714285715,0.9745143745143746
2,xgboost,overall,0.9595133934580697,0.9623922433153543
2,xgboost,sex_F,0.9532941439350969,0.9558019409784115
2,xgboost,sex_M,0.9657142857142859,0.96925
3,xgboost,overall,0.9625171555328589,0.9636704270749397
3,xgboost,sex_F,0.9616407982261641,0.9618892943948506
3,xgboost,sex_M,0.9629179331306992,0.9651860378956283
4,xgboost,overall,0.9562905470758924,0.9601372204741292
4,xgboost,sex_F,0.9425683494044244,0.9458228268851311
4,xgboost,sex_M,0.9714285714285715,0.9762529137529137
5,xgboost,overall,0.965691883160587,0.9685696011219507
5,xgboost,sex_F,0.977684387837536,0.9790015950336072
5,xgboost,sex_M,0.9518367346938774,0.9565063968849952
6,xgboost,overall,0.9726712881949118,0.9744762859875464
6,xgboost,sex_F,0.9679282902765604,0.969414971164681
6,xgboost,sex_M,0.9771428571428572,0.9797155225726655
7,xgboost,overall,0.9719196542079838,0.9747407098395484
7,xgboost,sex_F,0.975609756097561,0.9778169199221832
7,xgboost,sex_M,0.9686167800453515,0.9719682591920561
8,xgboost,overall,0.9710526315789473,0.9735121604708589
8,xgboost,sex_F,0.9609756097560975,0.962995415654133
8,xgboost,sex_M,0.9828571428571429,0.9848592091090937
9,xgboost,overall,0.9599710593619599,0.9634378211716342
9,xgboost,sex_F,0.9530672579453068,0.9557984012552317
9,xgboost,sex_M,0.9689795918367347,0.972192671394799
10,xgboost,overall,0.9706094325248087,0.972581663953634
10,xgboost,sex_F,0.9823355506282336,0.9835085237847092
10,xgboost,sex_M,0.9573773339122884,0.9603996827914354
11,xgboost,overall,0.9624690367784094,0.9660476852739409
11,xgboost,sex_F,0.9758366420873511,0.9778668390433097
11,xgboost,sex_M,0.9475814155449414,0.9530328798185941
12,xgboost,overall,0.9616657623440045,0.9639168329781598
12,xgboost,sex_F,0.9618536585365852,0.9633151845130067
12,xgboost,sex_M,0.9614589665653496,0.9643201243201244
13,xgboost,overall,0.9798627002288329,0.981885244858052
13,xgboost,sex_F,0.9855927396483267,0.9868218161050828
13,xgboost,sex_M,0.9730612244897958,0.9762352271862504
14,xgboost,overall,0.9629748214367491,0.9635096870964117
14,xgboost,sex_F,0.9616407982261641,0.9607413669841979
14,xgboost,sex_M,0.9645505861919237,0.9663726457900556
15,xgboost,overall,0.9699061077166247,0.9727762668508937
15,xgboost,sex_F,0.975609756097561,0.9782026696676749
15,xgboost,sex_M,0.9647242726877984,0.9672446225235094
16,xgboost,overall,0.9858291829317538,0.9866847021534653
16,xgboost,sex_F,0.9823355506282336,0.983048128342246
16,xgboost,sex_M,0.9902040816326532,0.9908729269385926
17,xgboost,overall,0.9757605330461704,0.9774519133781068
17,xgboost,sex_F,0.972579453067258,0.9738927738927738
17,xgboost,sex_M,0.9804081632653062,0.9817877150860344
18,xgboost,overall,0.9636300274904839,0.9654925096212288
18,xgboost,sex_F,0.9679282902765604,0.9690141141600505
18,xgboost,sex_M,0.9590099869735127,0.9616515151515153
19,xgboost,overall,0.9659375420648809,0.9679801876041028
19,xgboost,sex_F,0.9551418896852816,0.9566061706256175
19,xgboost,sex_M,0.9771428571428572,0.9802747811521666
