repeat,model,group,balanced_accuracy,macro_f1
0,logistic_regression,overall,0.9824942791762015,0.9839185903869744
0,logistic_regression,sex_F,0.9804878048780488,0.9816194964504306
0,logistic_regression,sex_M,0.9861224489795919,0.9867492155983865
1,logistic_regression,overall,0.9783705678359953,0.9795679772366486
1,logistic_regression,sex_F,0.9815927396483268,0.9825056999544003
1,logistic_regression,sex_M,0.9745201910551454,0.9758641600970286
2,logistic_regression,overall,0.9795531027056132,0.979843856839566
2,logistic_regression,sex_F,0.977684387837536,0.9779968769336037
2,logistic_regression,sex_M,0.9816326530612246,0.9816180762248112
3,logistic_regression,overall,0.9661976678189264,0.9663697226882487
3,logistic_regression,sex_F,0.963715429966139,0.9626906180247744
3,logistic_regression,sex_M,0.9671732522796352,0.9695732838589983
4,logistic_regression,overall,0.9732194673146335,0.9744979924083397
4,logistic_regression,sex_F,0.9773658536585366,0.9779586186466748
4,logistic_regression,sex_M,0.9688059053408598,0.9704618586814749
5,logistic_regression,overall,0.9684355194813306,0.9703917066898506
5,logistic_regression,sex_F,0.9785624366180237,0.978571574989741
5,logistic_regression,sex_M,0.9559183673469388,0.9602777054084045
6,logistic_regression,overall,0.9827399380804953,0.9837381830961167
6,logistic_regression,sex_F,0.9774575018477456,0.9781227469023392
6,logistic_regression,sex_M,0.9885714285714287,0.9899509803921568
7,logistic_regression,overall,0.9794050343249427,0.9817920773967449
7,logistic_regression,sex_F,0.9804878048780488,0.9828369464892731
7,logistic_regression,sex_M,0.9787755102040816,0.9808196551431774
8,logistic_regression,overall,0.9727833455682869,0.9744017740910055
8,logistic_regression,sex_F,0.975609756097561,0.9778169199221832
8,logistic_regression,sex_M,0.9700303951367781,0.9706048139050918
9,logistic_regression,overall,0.9493592607960167,0.9506229059744123
9,logistic_regression,sex_F,0.9411589061345158,0.9409266415503945
9,logistic_regression,sex_M,0.9586018237082067,0.9606555349412492
10,logistic_regression,overall,0.980108359133127,0.9815705076551169
10,logistic_regression,sex_F,0.9823355506282336,0.983048128342246
10,logistic_regression,sex_M,0.9771428571428572,0.9797155225726655
11,logistic_regression,overall,0.9785946825827455,0.9792722288392393
11,logistic_regression,sex_F,0.9871219512195122,0.9867624945841935
11,logistic_regression,sex_M,0.9686322188449848,0.9704081856706848
12,logistic_regression,overall,0.9753028671422802,0.9768883082677229
12,logistic_regression,sex_F,0.9872135994087212,0.9871443064078896
12,logistic_regression,sex_M,0.9616326530612245,0.965326758191283
13,logistic_regression,overall,0.9878694944443133,0.9887595371061414
13,logistic_regression,sex_F,0.9953488372093023,0.9956668608037275
13,logistic_regression,sex_M,0.9786018237082066,0.9805010649276508
14,logistic_regression,overall,0.9771671826625387,0.9773325818487109
14,logistic_regression,sex_F,0.9762749445676274,0.9744942716656754
14,logistic_regression,sex_M,0.9771428571428572,0.9802734794756072
15,logistic_regression,overall,0.9836552698882757,0.9845950745427899
15,logistic_regression,sex_F,0.9855927396483267,0.9868218161050828
15,logistic_regression,sex_M,0.9816326530612246,0.9822186826321744
16,logistic_regression,overall,0.9780394261552319,0.9778529737623177
16,logistic_regression,sex_F,0.9832135994087213,0.983263438987577
16,logistic_regression,sex_M,0.9733564915327833,0.9719562647754139
17,logistic_regression,overall,0.989600208433653,0.9890427996087908
17,logistic_regression,sex_F,0.9880916481892091,0.9872963830875477
17,logistic_regression,sex_M,0.9916630481980026,0.99086592377251
18,logistic_regression,overall,0.9779344460896487,0.9792894002562658
18,logistic_regression,sex_F,0.9728063390570479,0.9739383038943668
18,logistic_regression,sex_M,0.9828571428571429,0.9848592091090937
19,logistic_regression,overall,0.9638756863947778,0.9654839313581178
19,logistic_regression,sex_F,0.9560199384657693,0.9569487626918581
19,logistic_regression,sex_M,0.9714285714285715,0.9745143745143746
