repeat,model,group,balanced_accuracy,macro_f1
0,mlp,overall,0.9642902639835806,0.9652771564882455
0,mlp,sex_F,0.9578536585365853,0.9594805194805194
0,mlp,sex_M,0.9733564915327833,0.9719562647754139
1,mlp,overall,0.9831760598268419,0.984008078575777
1,mlp,sex_F,0.9862439024390245,0.9867605553658814
1,mlp,sex_M,0.9802344767694311,0.9809091588226504
2,mlp,overall,0.974838123930598,0.9754470007358856
2,mlp,sex_F,0.9794404853985114,0.9785932039893999
2,mlp,sex_M,0.9688059053408598,0.971285053128741
3,mlp,overall,0.9488040043685031,0.9500052920100772
3,mlp,sex_F,0.9461862183949534,0.9454143791990377
3,mlp,sex_M,0.9485714285714286,0.9530160751233488
4,mlp,overall,0.9689836986010523,0.9700772115693651
4,mlp,sex_F,0.963836642087351,0.9647589459179569
4,mlp,sex_M,0.9745201910551454,0.9756400697930994
5,mlp,overall,0.9722065449832297,0.9729447663026999
5,mlp,sex_F,0.9656843878375359,0.9650366943394932
5,mlp,sex_M,0.9787755102040816,0.9808196551431774
6,mlp,overall,0.9780465034630239,0.9791428266638352
6,mlp,sex_F,0.9685794530672579,0.968744175016616
6,mlp,sex_M,0.9885714285714287,0.9905939441846169
7,mlp,overall,0.9710455542711554,0.9729155494006175
7,mlp,sex_F,0.9589585933068634,0.960780857456481
7,mlp,sex_M,0.9844897959183674,0.9858702243784112
8,mlp,overall,0.9790738926441793,0.9798289710750179
8,mlp,sex_F,0.9815927396483268,0.983004903167825
8,mlp,sex_M,0.9757446808510638,0.975735064122615
9,mlp,overall,0.959730430897028,0.9609171795745757
9,mlp,sex_F,0.9550502414960725,0.9560156784586678
9,mlp,sex_M,0.9643768996960486,0.9655257477644156
10,mlp,overall,0.974838123930598,0.9749705164904251
10,mlp,sex_F,0.9800916481892091,0.9790097597512826
10,mlp,sex_M,0.9689795918367347,0.9698029053016924
11,mlp,overall,0.973901247965274,0.9749826465677749
11,mlp,sex_F,0.9733658536585367,0.9734545454545455
11,mlp,sex_M,0.9743465045592705,0.9762387320651351
12,mlp,overall,0.9695266568571173,0.9704963528133674
12,mlp,sex_F,0.9743355506282334,0.9740756395712233
12,mlp,sex_M,0.9643614608964153,0.9665009052421908
13,mlp,overall,0.9830640024534667,0.9839934549376175
13,mlp,sex_F,0.9960000000000001,0.995570159425581
13,mlp,sex_M,0.9689795918367347,0.9713262551765706
14,mlp,overall,0.9644433628036129,0.9620573305525509
14,mlp,sex_F,0.9620310421286031,0.9580884254282029
14,mlp,sex_M,0.9658358662613982,0.9664496921518196
15,mlp,overall,0.9734530184717733,0.9754669196414568
15,mlp,sex_F,0.9718366420873512,0.9737763337128541
15,mlp,sex_M,0.9763265306122448,0.9780000486607159
16,mlp,overall,0.9768999796007011,0.9777739420049452
16,mlp,sex_F,0.9832135994087213,0.983263438987577
16,mlp,sex_M,0.970438558402084,0.9718237294917967
17,mlp,overall,0.9817054715915476,0.9818963003970911
17,mlp,sex_F,0.9783355506282335,0.9779872338378877
17,mlp,sex_M,0.9859487624837169,0.9859080691419269
18,mlp,overall,0.9690076018611933,0.9684081512278084
18,mlp,sex_F,0.9646089482459306,0.9651305305722266
18,mlp,sex_M,0.9738775510204082,0.9719506337065367
19,mlp,overall,0.9749717254615169,0.9756511157249165
19,mlp,sex_F,0.9568979872462572,0.9572095436070558
19,mlp,sex_M,0.9942857142857143,0.9949961861174674
