repeat,model,group,balanced_accuracy,macro_f1
0,random_forest,overall,0.9407912954356608,0.9438775870609903
0,random_forest,sex_F,0.95655133295519,0.9595588115588116
0,random_forest,sex_M,0.9231977613740533,0.9280438755700553
1,random_forest,overall,0.9402853203530267,0.943177918778294
1,random_forest,sex_F,0.9491916556374866,0.9503471609296852
1,random_forest,sex_M,0.9288059053408597,0.9330942328474006
2,random_forest,overall,0.9434444185405727,0.9465399739788822
2,random_forest,sex_F,0.9351137695732138,0.9369689494662327
2,random_forest,sex_M,0.9514739229024943,0.9560515409896236
3,random_forest,overall,0.9272754939968548,0.9305762240734523
3,random_forest,sex_F,0.9420462824501395,0.9434826672035974
3,random_forest,sex_M,0.9086775703189078,0.9141781639469823
4,random_forest,overall,0.919161863271656,0.9231629129569242
4,random_forest,sex_F,0.8975362702464235,0.9003017413100759
4,random_forest,sex_M,0.9418671298306556,0.947177374447698
5,random_forest,overall,0.9251766551533208,0.9286187567625129
5,random_forest,sex_F,0.941521029924887,0.9417587963784169
5,random_forest,sex_M,0.9065914025184542,0.912804006338489
6,random_forest,overall,0.9342816640523802,0.9375772889569106
6,random_forest,sex_F,0.9359716507101645,0.9375915993469522
6,random_forest,sex_M,0.9317238384715589,0.9373534949569571
7,random_forest,overall,0.9414164051994621,0.9451991487649902
7,random_forest,sex_F,0.9419171866137266,0.9451657070533278
7,random_forest,sex_M,0.9402344767694311,0.9448233540808275
8,random_forest,overall,0.9315235608818849,0.9347841494359536
8,random_forest,sex_F,0.9296903006239365,0.9313816857531482
8,random_forest,sex_M,0.9326984126984126,0.9374193651100218
9,random_forest,overall,0.9110101415199436,0.9138307874226385
9,random_forest,sex_F,0.9052985441482322,0.9068520802056682
9,random_forest,sex_M,0.9158508225985429,0.9198104283537699
10,random_forest,overall,0.921814986376568,0.9262665722237402
10,random_forest,sex_F,0.9408496994906524,0.9436622594807389
10,random_forest,sex_M,0.9010508033000434,0.9060997623066589
11,random_forest,overall,0.9502264738493477,0.9540258965227973
11,random_forest,sex_F,0.9479001701644924,0.9505483953466362
11,random_forest,sex_M,0.9518367346938774,0.9569328235640466
12,random_forest,overall,0.9322714488297539,0.9359121211589235
12,random_forest,sex_F,0.9438800025209554,0.9456549968909519
12,random_forest,sex_M,0.9207487817822164,0.9258551714651333
13,random_forest,overall,0.9542947987030178,0.9577151631769194
13,random_forest,sex_F,0.9485606604903258,0.9516971087453193
13,random_forest,sex_M,0.9590099869735127,0.9628699637473492
14,random_forest,overall,0.9303469407296288,0.9313327395511853
14,random_forest,sex_F,0.932280857354028,0.9308556908556909
14,random_forest,sex_M,0.9271732522796352,0.9311307505850637
15,random_forest,overall,0.9408396046144049,0.9447095541845176
15,random_forest,sex_F,0.9339171866137266,0.9374097254702785
15,random_forest,sex_M,0.9492140686061659,0.9523705490726767
16,random_forest,overall,0.9386389265497261,0.9415713220210952
16,random_forest,sex_F,0.9484160951546091,0.9507183351451747
16,random_forest,sex_M,0.9292594200800888,0.9328295974035126
17,random_forest,overall,0.9390234078485955,0.9413878582258253
17,random_forest,sex_F,0.9366429811443993,0.9369193911218001
17,random_forest,sex_M,0.9402344767694311,0.9450309593219524
18,random_forest,overall,0.9383932676454322,0.9413538727272073
18,random_forest,sex_F,0.9281704165878868,0.9307374075997041
18,random_forest,sex_M,0.9492140686061659,0.9520752263609407
19,random_forest,overall,0.9208030362112998,0.9233161580243564
19,random_forest,sex_F,0.9266491574852325,0.9281951072720787
19,random_forest,sex_M,0.9129328894678439,0.9166980861957864
