repeat,model,group,balanced_accuracy,macro_f1
0,svm,overall,0.9772311212814646,0.9792800303145132
0,svm,sex_F,0.9804878048780488,0.9820512820512821
0,svm,sex_M,0.9746938775510203,0.9767770993517262
1,svm,overall,0.9741418764302059,0.9765157696690965
1,svm,sex_F,0.9804878048780488,0.9820512820512821
1,svm,sex_M,0.9673469387755101,0.9705535289452815
2,svm,overall,0.9757605330461704,0.9772382912386434
2,svm,sex_F,0.977684387837536,0.9784280335739698
2,svm,sex_M,0.9730612244897958,0.9757159221076748
3,svm,overall,0.9561290179333429,0.9567442646073949
3,svm,sex_F,0.9541862183949534,0.9535721038273506
3,svm,sex_M,0.9557446808510637,0.959
4,svm,overall,0.9678442520465216,0.9700786008311285
4,svm,sex_F,0.9629585933068633,0.9647318199042336
4,svm,sex_M,0.9730612244897958,0.9754558647047602
5,svm,overall,0.9675346545233017,0.9683926554805586
5,svm,sex_F,0.9715321335877206,0.9703227312622851
5,svm,sex_M,0.9616326530612245,0.965326758191283
6,svm,overall,0.9827399380804953,0.9837381830961167
6,svm,sex_F,0.9774575018477456,0.9781227469023392
6,svm,sex_M,0.9885714285714287,0.9899509803921568
7,svm,overall,0.9741418764302059,0.9767200954312317
7,svm,sex_F,0.9804878048780488,0.9824145876266469
7,svm,sex_M,0.9673469387755101,0.9705535289452815
8,svm,overall,0.9736842105263157,0.976111571389119
8,svm,sex_F,0.9804878048780488,0.9820512820512821
8,svm,sex_M,0.9657142857142859,0.96925
9,svm,overall,0.9549535603715171,0.9573449543523935
9,svm,sex_F,0.9451589061345158,0.9463088263088263
9,svm,sex_M,0.9657142857142859,0.969730550182678
10,svm,overall,0.9722136222910217,0.9742778013061988
10,svm,sex_F,0.9774575018477456,0.9784862264031492
10,svm,sex_M,0.9657142857142859,0.96925
11,svm,overall,0.9768855127509497,0.9793127779138121
11,svm,sex_F,0.9862439024390245,0.9867605553658814
11,svm,sex_M,0.9657142857142859,0.9702698332854268
12,svm,overall,0.9535613776049002,0.9559709472364863
12,svm,sex_F,0.968806339057048,0.9696254302654876
12,svm,sex_M,0.9363265306122448,0.9399975745816154
13,svm,overall,0.9842105263157894,0.9860230955570668
13,svm,sex_F,1.0,1.0
13,svm,sex_M,0.9657142857142859,0.969730550182678
14,svm,overall,0.9719040247678018,0.9726778887934454
14,svm,sex_F,0.9762749445676274,0.9748894481493924
14,svm,sex_M,0.9657142857142859,0.969730550182678
15,svm,overall,0.9803203661327231,0.9820447886762015
15,svm,sex_F,0.9758366420873511,0.9778668390433097
15,svm,sex_M,0.9861224489795919,0.9872132775366866
16,svm,overall,0.9674010529923829,0.9683134303160511
16,svm,sex_F,0.9639282902765602,0.9648882773275798
16,svm,sex_M,0.9718975249674339,0.971904761904762
17,svm,overall,0.9789618352708042,0.9795521550615767
17,svm,sex_F,0.9736843878375359,0.9736333033848027
17,svm,sex_M,0.9844897959183674,0.9858702243784112
18,svm,overall,0.9726712881949118,0.9744762859875464
18,svm,sex_F,0.9630502414960723,0.9648544109349266
18,svm,sex_M,0.9828571428571429,0.9848592091090937
19,svm,overall,0.9527796473280388,0.9553680299250809
19,svm,sex_F,0.9502638409047938,0.9519363018632747
19,svm,sex_M,0.9542857142857143,0.958507273877293
