repeat,model,group,balanced_accuracy,macro_f1
0,xgboost,overall,0.9703637736205147,0.9727285786109316
0,xgboost,sex_F,0.9758366420873511,0.9778668390433097
0,xgboost,sex_M,0.9647242726877984,0.9675518067270644
1,xgboost,overall,0.9642973412913728,0.9665561999447666
1,xgboost,sex_F,0.9813658536585365,0.9821568627450981
1,xgboost,sex_M,0.9443161094224923,0.9481340923466159
2,xgboost,overall,0.9631868284363453,0.9645009915920472
2,xgboost,sex_F,0.9475956616648619,0.9485689275250804
2,xgboost,sex_M,0.9787755102040816,0.9808196551431774
3,xgboost,overall,0.9644331115005944,0.9650139585401272
3,xgboost,sex_F,0.9550642671754414,0.9545719545354748
3,xgboost,sex_M,0.9726984126984128,0.9754481295412274
4,xgboost,overall,0.9539974993512468,0.956574170539118
4,xgboost,sex_F,0.9399001701644923,0.9418824554993621
4,xgboost,sex_M,0.9689795918367347,0.9719326139918845
5,xgboost,overall,0.942591862761288,0.9451983728320273
5,xgboost,sex_F,0.9522468244555595,0.9528020750656641
5,xgboost,sex_M,0.9306122448979591,0.9353538421589447
6,xgboost,overall,0.9718609364527147,0.9726410258206546
6,xgboost,sex_F,0.9694575018477458,0.9695048941668395
6,xgboost,sex_M,0.9743465045592705,0.9756887763079714
7,xgboost,overall,0.9515971124584208,0.9551278336348543
7,xgboost,sex_F,0.9612024957458877,0.96380698602566
7,xgboost,sex_M,0.9400607902735562,0.9447230138734002
8,xgboost,overall,0.9530409356725146,0.9564602910264053
8,xgboost,sex_F,0.956531165311653,0.9585016206721552
8,xgboost,sex_M,0.9485714285714286,0.9533870890525726
9,xgboost,overall,0.9484955694357134,0.9514650407897488
9,xgboost,sex_F,0.931185250118886,0.933759588764406
9,xgboost,sex_M,0.9671732522796352,0.970350284635999
10,xgboost,overall,0.9580212610652319,0.9604660240338314
10,xgboost,sex_F,0.9541721927155846,0.9560228935151536
10,xgboost,sex_M,0.9614589665653496,0.9647982007860427
11,xgboost,overall,0.9594918493005261,0.9626407427458448
11,xgboost,sex_F,0.9620805445263756,0.9647222707932622
11,xgboost,sex_M,0.9557446808510637,0.9594401461422738
12,xgboost,overall,0.9533278264477605,0.9554878961399025
12,xgboost,sex_F,0.9548233555062822,0.9554553860379104
12,xgboost,sex_M,0.9516630481980025,0.9554983429269143
13,xgboost,overall,0.9687595838543018,0.9707652604982979
13,xgboost,sex_F,0.9864707884288144,0.9869391073474272
13,xgboost,sex_M,0.9492140686061659,0.9528970822906466
14,xgboost,overall,0.9722280891407733,0.9727470065509152
14,xgboost,sex_F,0.9657760360267449,0.9653796450674426
14,xgboost,sex_M,0.9787755102040816,0.9808196551431774
15,xgboost,overall,0.9708851877190362,0.9729303854858257
15,xgboost,sex_F,0.9680433604336043,0.9691443770977021
15,xgboost,sex_M,0.9746938775510203,0.977076300528313
16,xgboost,overall,0.9767396130485819,0.9775124485850858
16,xgboost,sex_F,0.968806339057048,0.9699080179291488
16,xgboost,sex_M,0.9857596371882087,0.9858100009377087
17,xgboost,overall,0.9767396130485819,0.9776887399891073
17,xgboost,sex_F,0.9785624366180237,0.978571574989741
17,xgboost,sex_M,0.9743310657596371,0.9765526871489832
18,xgboost,overall,0.9729470433891393,0.9747032709692345
18,xgboost,sex_F,0.9676190836326969,0.9687879941620661
18,xgboost,sex_M,0.9771428571428572,0.9802734794756072
19,xgboost,overall,0.9634213517596206,0.9658508059494718
19,xgboost,sex_F,0.9683618946126036,0.9697208076273544
19,xgboost,sex_M,0.95718820861678,0.9612044730851721
