model,held_out_pop,sex,balanced_accuracy
logistic_regression,AFR,M,0.7844897959183674
logistic_regression,AFR,F,0.7627317073170732
logistic_regression,AFR,overall,0.7726497440373683
logistic_regression,AMR,M,0.7959183673469388
logistic_regression,AMR,F,0.7953488372093023
logistic_regression,AMR,overall,0.7956521739130434
logistic_regression,EAS,M,0.7844897959183674
logistic_regression,EAS,F,0.775609756097561
logistic_regression,EAS,overall,0.7794050343249428
logistic_regression,EUR,M,0.7971428571428572
logistic_regression,EUR,F,0.8
logistic_regression,EUR,overall,0.7985294117647059
logistic_regression,SAS,M,0.7800607902735563
logistic_regression,SAS,F,0.775609756097561
logistic_regression,SAS,overall,0.7774552360282149
random_forest,AFR,M,0.7307338254450717
random_forest,AFR,F,0.7248215793785844
random_forest,AFR,overall,0.7276263233910265
random_forest,AMR,M,0.7833260963960053
random_forest,AMR,F,0.7822532299741602
random_forest,AMR,overall,0.7828965585935554
random_forest,EAS,M,0.7447850629613548
random_forest,EAS,F,0.7419171866137265
random_forest,EAS,overall,0.7430135176578829
random_forest,EUR,M,0.7844897959183674
random_forest,EUR,F,0.7716190836326968
random_forest,EUR,overall,0.7780981439105009
random_forest,SAS,M,0.7686322188449848
random_forest,SAS,F,0.7427750677506775
random_forest,SAS,overall,0.7547501055043107
