model,held_out_pop,sex,balanced_accuracy
logistic_regression,AFR,M,0.7861224489795918
logistic_regression,AFR,F,0.7707317073170732
logistic_regression,AFR,overall,0.7772311212814645
logistic_regression,AMR,M,0.7918367346938775
logistic_regression,AMR,F,0.8
logistic_regression,AMR,overall,0.7956521739130434
logistic_regression,EAS,M,0.7861224489795918
logistic_regression,EAS,F,0.7853658536585366
logistic_regression,EAS,overall,0.7851258581235697
logistic_regression,EUR,M,0.8
logistic_regression,EUR,F,0.8
logistic_regression,EUR,overall,0.8
logistic_regression,SAS,M,0.7885714285714286
logistic_regression,SAS,F,0.7804878048780488
logistic_regression,SAS,overall,0.7842105263157895
random_forest,AFR,M,0.7292748588797221
random_forest,AFR,F,0.7516732841747021
random_forest,AFR,overall,0.7408396046144047
random_forest,AMR,M,0.7874077290490664
random_forest,AMR,F,0.7866976744186046
random_forest,AMR,overall,0.7872926938592559
random_forest,EAS,M,0.7374381241858445
random_forest,EAS,F,0.7660805445263754
random_forest,EAS,overall,0.7526245016395763
random_forest,EUR,M,0.7787755102040815
random_forest,EUR,F,0.7904707884288145
random_forest,EUR,overall,0.7851258581235697
random_forest,SAS,M,0.7614589665653495
random_forest,SAS,F,0.7658536585365854
random_forest,SAS,overall,0.7637276180141075
