repeat,patient_id,split,stratum
0,NA12146,train,EUR__M
0,HG00278,train,EUR__M
0,HG00251,train,EUR__M
0,NA10842,train,EUR__M
0,NA20509,train,EUR__M
0,NA07022,train,EUR__M
0,HG01669,train,EUR__M
0,NA10865,train,EUR__M
0,HG01502,train,EUR__M
0,HG00351,train,EUR__M
0,NA20765,train,EUR__M
0,HG01512,train,EUR__M
0,HG00185,train,EUR__M
0,HG00256,train,EUR__M
0,HG01529,train,EUR__M
0,NA20785,train,EUR__M
0,NA20515,train,EUR__M
0,NA11881,train,EUR__M
0,NA10837,train,EUR__M
0,HG01775,train,EUR__M
0,HG01606,train,EUR__M
0,NA20796,train,EUR__M
0,NA20512,train,EUR__M
0,NA20752,train,EUR__M
0,HG01698,train,EUR__M
0,HG00107,train,EUR__M
0,HG00260,train,EUR__M
0,HG01503,train,EUR__M
0,NA20787,train,EUR__M
0,HG01778,train,EUR__M
0,NA20536,train,EUR__M
0,HG01774,train,EUR__M
0,HG01527,train,EUR__M
0,NA12248,train,EUR__M
0,HG00375,train,EUR__M
0,HG00325,train,EUR__M
0,NA20538,train,EUR__M
0,HG00246,train,EUR__M
0,NA10835,train,EUR__M
0,NA12842,train,EUR__M
0,HG00273,train,EUR__M
0,NA12413,train,EUR__M
0,HG01633,train,EUR__M
0,NA12739,train,EUR__M
0,HG00277,train,EUR__M
0,NA06994,train,EUR__M
0,NA20510,train,EUR__M
0,HG00242,train,EUR__M
0,NA12274,train,EUR__M
0,HG01506,train,EUR__M
0,NA07029,train,EUR__M
0,NA07034,train,EUR__M
0,HG00267,train,EUR__M
0,HG00271,train,EUR__M
0,NA12286,train,EUR__M
0,HG00335,train,EUR__M
0,HG00108,train,EUR__M
0,HG00280,train,EUR__M
0,NA12766,train,EUR__M
0,NA06984,train,EUR__M
0,NA12777,train,EUR__M
0,NA20516,train,EUR__M
0,HG01610,train,EUR__M
0,NA20539,train,EUR__M
0,HG02238,train,EUR__M
0,HG00126,train,EUR__M
0,NA12762,train,EUR__M
0,HG01705,train,EUR__M
0,NA11917,train,EUR__M
0,HG00308,train,EUR__M
0,HG01609,train,EUR__M
0,NA11930,train,EUR__M
0,NA12546,train,EUR__M
0,NA12005,train,EUR__M
0,HG00131,train,EUR__M
0,HG01675,train,EUR__M
0,NA12272,train,EUR__M
0,NA12056,train,EUR__M
0,NA20809,train,EUR__M
0,NA20513,train,EUR__M
0,HG01703,train,EUR__M
0,HG00157,train,EUR__M
0,HG00341,train,EUR__M
0,HG00311,train,EUR__M
0,HG01781,train,EUR__M
0,HG01509,train,EUR__M
0,HG00105,train,EUR__M
0,HG00310,train,EUR__M
0,HG01765,train,EUR__M
0,HG01671,train,EUR__M
0,NA12144,train,EUR__M
0,NA07349,train,EUR__M
0,NA12340,train,EUR__M
0,HG01524,train,EUR__M
0,HG02234,train,EUR__M
0,NA07051,train,EUR__M
0,NA11992,train,EUR__M
0,HG01631,train,EUR__M
0,NA12154,train,EUR__M
0,NA20521,train,EUR__M
0,HG00190,train,EUR__M
0,HG01672,train,EUR__M
0,HG01624,train,EUR__M
0,NA12155,train,EUR__M
0,NA20767,train,EUR__M
0,HG01615,train,EUR__M
0,NA20532,train,EUR__M
0,HG01700,train,EUR__M
0,HG01708,train,EUR__M
0,NA20518,train,EUR__M
0,NA20763,train,EUR__M
0,HG00188,train,EUR__M
0,NA20754,train,EUR__M
0,HG01686,train,EUR__M
0,HG00284,train,EUR__M
0,NA12775,train,EUR__M
0,HG01508,train,EUR__M
0,HG00372,train,EUR__M
0,NA10830,train,EUR__M
0,NA12716,train,EUR__M
0,HG00151,train,EUR__M
0,HG00187,train,EUR__M
0,NA20811,train,EUR__M
0,NA20801,train,EUR__M
0,NA12877,train,EUR__M
0,HG01780,train,EUR__M
0,HG01505,train,EUR__M
0,HG00109,train,EUR__M
0,HG00243,train,EUR__M
0,HG00159,train,EUR__M
0,NA12748,train,EUR__M
0,NA07435,train,EUR__M
0,HG01521,train,EUR__M
0,HG01789,train,EUR__M
0,NA11891,train,EUR__M
0,NA06993,train,EUR__M
0,NA12874,train,EUR__M
0,HG01667,train,EUR__M
0,HG01709,train,EUR__M
0,NA11994,train,EUR__M
0,HG00103,train,EUR__M
0,NA20544,train,EUR__M
0,NA12891,train,EUR__M
0,HG01699,train,EUR__M
0,HG01696,train,EUR__M
0,HG00138,train,EUR__M
0,HG01629,train,EUR__M
0,NA20814,train,EUR__M
0,NA20524,train,EUR__M
