reference,sex,superpopulation,metric,n,mean,sd,median,q25,q75
GRCh38,F,AFR,het_rate,435,0.6626671757696736,0.05990880040853132,0.6672528752365701,0.6577693269343383,0.6773803506810339
GRCh38,F,AFR,call_rate,435,1.0,0.0,1.0,1.0,1.0
GRCh38,F,AFR,var_rate,435,0.6626671757696736,0.05990880040853132,0.6672528752365701,0.6577693269343383,0.6773803506810339
GRCh38,F,AFR,hom_rate,435,0.0,0.0,0.0,0.0,0.0
GRCh38,F,AMR,het_rate,265,0.6026124796084159,0.05909978570908874,0.6044006200482259,0.5603601670288009,0.6415019915696663
GRCh38,F,AMR,call_rate,265,1.0,0.0,1.0,1.0,1.0
GRCh38,F,AMR,var_rate,265,0.6026124796084159,0.05909978570908874,0.6044006200482259,0.5603601670288009,0.6415019915696663
GRCh38,F,AMR,hom_rate,265,0.0,0.0,0.0,0.0,0.0
GRCh38,F,EAS,het_rate,293,0.5442000761704662,0.019251152889252426,0.544911984567157,0.533670063246662,0.5559624207996504
GRCh38,F,EAS,call_rate,293,1.0,0.0,1.0,1.0,1.0
GRCh38,F,EAS,var_rate,293,0.5442000761704662,0.019251152889252426,0.544911984567157,0.533670063246662,0.5559624207996504
GRCh38,F,EAS,hom_rate,293,0.0,0.0,0.0,0.0,0.0
GRCh38,F,EUR,het_rate,328,0.5948520909820557,0.03680183319111628,0.5985768445219003,0.5857957104454959,0.6116672395610787
GRCh38,F,EUR,call_rate,328,1.0,0.0,1.0,1.0,1.0
GRCh38,F,EUR,var_rate,328,0.5948520909820557,0.03680183319111628,0.5985768445219003,0.5857957104454959,0.6116672395610787
GRCh38,F,EUR,hom_rate,328,0.0,0.0,0.0,0.0,0.0
GRCh38,F,SAS,het_rate,282,0.5943611674971615,0.04028491346235419,0.6005640378581056,0.5866920836928022,0.6125495810529202
GRCh38,F,SAS,call_rate,282,1.0,0.0,1.0,1.0,1.0
GRCh38,F,SAS,var_rate,282,0.5943611674971615,0.04028491346235419,0.6005640378581056,0.5866920836928022,0.6125495810529202
GRCh38,F,SAS,hom_rate,282,0.0,0.0,0.0,0.0,0.0
GRCh38,M,AFR,het_rate,458,0.002051773240181888,0.0001380109284902018,0.0020583767092909305,0.001992691397595838,0.002123877878483835
GRCh38,M,AFR,call_rate,458,1.0,0.0,1.0,1.0,1.0
GRCh38,M,AFR,var_rate,458,0.05000949913125363,0.0015289477558374988,0.050250968322111955,0.04944533426036706,0.050908697393843926
GRCh38,M,AFR,hom_rate,458,0.9589413493339799,0.002959275434308936,0.9589308700759356,0.9575098043282217,0.9601474387866954
GRCh38,M,AMR,het_rate,225,0.0039414824433242545,0.03476665305712174,0.001638537705543159,0.0014729305180097903,0.0017655416239038412
GRCh38,M,AMR,call_rate,225,1.0,0.0,1.0,1.0,1.0
GRCh38,M,AMR,var_rate,225,0.04062933553787147,0.03242335476810837,0.03771565266440456,0.03686155297953508,0.038875551118966456
GRCh38,M,AMR,hom_rate,225,0.9535013279159893,0.06405059922519075,0.9577678284612914,0.9539008395025442,0.960733720693368
GRCh38,M,EAS,het_rate,292,0.0014464738369235552,0.0001073380197686398,0.0014419351238656249,0.001373463556404988,0.0015212824620795438
GRCh38,M,EAS,call_rate,292,1.0,0.0,1.0,1.0,1.0
GRCh38,M,EAS,var_rate,292,0.037305613015649774,0.0006954551709608694,0.03724709090636623,0.03679080989794748,0.03775841835118443
GRCh38,M,EAS,hom_rate,292,0.9612214587617519,0.00285576928004657,0.9614916052865956,0.9590285291332584,0.9631583452576099
GRCh38,M,EUR,het_rate,305,0.0015794638841708105,0.00011595416958807542,0.0015811082220914675,0.0015072520522884222,0.0016572728966295664
GRCh38,M,EUR,call_rate,305,1.0,0.0,1.0,1.0,1.0
GRCh38,M,EUR,var_rate,305,0.03620410962753875,0.0007882239880822209,0.03617178254708022,0.03565044092303444,0.03673434201639448
GRCh38,M,EUR,hom_rate,305,0.9563562343690866,0.0032837429198869657,0.9563102751567415,0.954403604362965,0.95848903836572
GRCh38,M,SAS,het_rate,319,0.001596328870552556,0.00013979131908852305,0.0016121968867141316,0.0015250098865406446,0.0016707691732670564
GRCh38,M,SAS,call_rate,319,1.0,0.0,1.0,1.0,1.0
GRCh38,M,SAS,var_rate,319,0.037520962069007464,0.0007642291559818312,0.03756735916988738,0.0370942496469938,0.03805082354853065
GRCh38,M,SAS,hom_rate,319,0.9574455737275522,0.003740553086767915,0.957177998622454,0.9552399037107125,0.9595483582697906
T2T,F,AFR,het_rate,435,0.6571238678189376,0.06093316972786124,0.6600489578458548,0.6507102998961598,0.6716048604924499
T2T,F,AFR,call_rate,435,0.9254440171198342,0.010624127878964171,0.9263169161263428,0.9216886014941259,0.9311362014470599
T2T,F,AFR,var_rate,435,0.6571238678189376,0.06093316972786124,0.6600489578458548,0.6507102998961598,0.6716048604924499
T2T,F,AFR,hom_rate,435,0.0,0.0,0.0,0.0,0.0
T2T,F,AMR,het_rate,265,0.6538208046997088,0.05920408915253551,0.6637739014724174,0.6109651073464601,0.699420727081232
T2T,F,AMR,call_rate,265,0.9158714929727836,0.010176753197089649,0.9161077752671426,0.9096894257272775,0.9222497637177453
T2T,F,AMR,var_rate,265,0.6538208046997088,0.05920408915253551,0.6637739014724174,0.6109651073464601,0.699420727081232
T2T,F,AMR,hom_rate,265,0.0,0.0,0.0,0.0,0.0
T2T,F,EAS,het_rate,293,0.5880157353235806,0.021806105725570034,0.5884743466726873,0.5739902208862084,0.6036672872546738
T2T,F,EAS,call_rate,293,0.9120604417281233,0.00867586701265514,0.9125374389154537,0.9054020176522964,0.9189092980207888
T2T,F,EAS,var_rate,293,0.5880157353235806,0.021806105725570034,0.5884743466726873,0.5739902208862084,0.6036672872546738
T2T,F,EAS,hom_rate,293,0.0,0.0,0.0,0.0,0.0
T2T,F,EUR,het_rate,328,0.6665344449746773,0.0392587334002567,0.6691094823204924,0.6575943502789613,0.6837835196167094
T2T,F,EUR,call_rate,328,0.9129984065179617,0.013839395985365937,0.9142498117176178,0.9068596659781424,0.9212297873334767
T2T,F,EUR,var_rate,328,0.6665344449746773,0.0392587334002567,0.6691094823204924,0.6575943502789613,0.6837835196167094
T2T,F,EUR,hom_rate,328,0.0,0.0,0.0,0.0,0.0
T2T,F,SAS,het_rate,282,0.6481241569551651,0.04128510904668598,0.653810227679885,0.6398635507806564,0.6680759684580756
T2T,F,SAS,call_rate,282,0.916120331922036,0.009710768322401484,0.9173497640735353,0.911761018030758,0.9221704959713393
T2T,F,SAS,var_rate,282,0.6481241569551651,0.04128510904668598,0.653810227679885,0.6398635507806564,0.6680759684580756
T2T,F,SAS,hom_rate,282,0.0,0.0,0.0,0.0,0.0
